frame_num,player_1_number_of_shots,player_1_total_shot_speed,player_1_last_shot_speed,player_1_total_player_speed,player_1_last_player_speed,player_2_number_of_shots,player_2_total_shot_speed,player_2_last_shot_speed,player_2_total_player_speed,player_2_last_player_speed,player_1_average_shot_speed,player_2_average_shot_speed,player_1_average_player_speed,player_2_average_player_speed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
12,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
13,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
14,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
15,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
16,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
17,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
18,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
19,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
20,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
21,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
22,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
23,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
24,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
25,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
26,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
27,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
28,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
29,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
30,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
31,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
32,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
33,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
34,1.0,33.06707000732422,33.06707000732422,0.0,0.0,0.0,0.0,0.0,1.7203271389007568,1.7203271389007568,33.06707000732422,,,1.7203271389007568
